pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_receipt_date
D09,PARTS INCORPORATED,EP329,DIST CAP,32.76,60.00,1,32.76,,,
D09,PARTS INCORPORATED,ep818,1400 DIST ,33.02,70.00,1,33.02,2022-08-20,,
e02,PARTS INCORPORATED,ep562,xr3 rotor,69.77,110.00,1,69.77,,,
E02,PARTS INCORPORATED,ep342e,1400,6.34,30.00,1,6.34,2020-06-09,,
E02,PARTS INCORPORATED,TP1014B,MODULE AST,150.55,245.00,1,150.55,2015-11-08,,
E02,PARTS INCORPORATED,TP300,MODULE,147.36,225.00,1,147.36,2022-01-04,,
e04,PARTS INCORPORATED,g9006m,,25.20,40.00,1,25.20,2023-08-18,,
E04,PARTS INCORPORATED,AB339,GLOBE,2.04,6.00,2,4.08,2023-10-09,V4821953,2026-02-26
E04,PARTS INCORPORATED,FC08,FUSE 8A,1.06,5.00,4,4.24,,,
e08,PARTS INCORPORATED,ts6106,1pin almer,56.66,100.00,1,56.66,,,
e08,PARTS INCORPORATED,ts913sam,,27.72,50.00,1,27.72,,,
E08,PARTS INCORPORATED,TS6047,TEMP. SEND,62.01,95.00,1,62.01,2023-05-04,ERID8092,2024-12-05
E08,PARTS INCORPORATED,TS6047M,TEMP SWITC,29.35,60.00,1,29.35,2023-06-06,,
E08,PARTS INCORPORATED,ts6053,TEMP UNIT,56.49,120.00,1,56.49,2023-08-22,,
E08,PARTS INCORPORATED,ts6056m,TEMP SWITC,28.38,55.00,1,28.38,2020-12-19,,
E08,PARTS INCORPORATED,TS6080,TEMP SWITC,165.60,240.00,1,165.60,,,
E08,PARTS INCORPORATED,TS913SA,T.SENDER,78.01,120.00,1,78.01,2020-05-29,,
e10,PARTS INCORPORATED,sl216,3pin,103.34,165.00,1,103.34,,,
E10,PARTS INCORPORATED,sl149,S.L.SWITCH,28.28,95.00,1,28.28,2023-06-03,,
E10,PARTS INCORPORATED,SL160,S/L SWITCH,21.25,50.00,2,42.50,,ERQP2052,2023-12-04
E10,PARTS INCORPORATED,SL178,STOP LIGHT,61.24,100.00,1,61.24,2020-02-15,ERQP2052,2023-12-04
e11,PARTS INCORPORATED,rs131I,hilux,108.30,175.00,1,108.30,2020-07-08,,
E11,PARTS INCORPORATED,rs124I,opel/chev,75.26,120.00,1,75.26,2023-02-14,,
e12,PARTS INCORPORATED,reg1341,reg 12v op,284.72,420.00,1,284.72,,,
e12,PARTS INCORPORATED,reg6041,quantum re,185.33,270.00,1,185.33,,,
e12,PARTS INCORPORATED,reg6107,quantum re,194.50,300.00,2,389.00,,,
e12,PARTS INCORPORATED,vr44,reg 4pin,134.64,245.00,1,134.64,,,
E12,PARTS INCORPORATED,REG1103,RENAULT 2 ,246.89,360.00,1,246.89,,,
E14,PARTS INCORPORATED,JNDSX35,GRINDER BR,22.38,35.00,1,22.38,2021-04-23,,
E14,PARTS INCORPORATED,LR352,CONTACTS S,16.99,30.00,1,16.99,2019-03-07,,
e19,PARTS INCORPORATED,drv1027,mazda 9t b,113.43,175.00,1,113.43,,,
E19,PARTS INCORPORATED,66242137,BENDIX,81.51,120.00,1,81.51,2014-08-31,,
E19,PARTS INCORPORATED,SD067,BENDIX,39.31,70.00,2,78.62,2014-03-22,,
E19,PARTS INCORPORATED,SD111,BENDIX,78.06,125.00,1,78.06,2022-07-04,3703035,2026-02-25
E19,PARTS INCORPORATED,SD1709,BENDIX S90,34.96,70.00,1,34.96,2014-01-11,,
E19,PARTS INCORPORATED,SD474,BENDIX,49.96,80.00,1,49.96,2013-12-24,,
E19,PARTS INCORPORATED,SD526,BENDIX,53.46,125.00,2,106.92,2014-12-03,,
E19,PARTS INCORPORATED,SD630,BENDIX,34.18,70.00,1,34.18,2014-04-26,,
