pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_trans_date
FAI,PARTS INCORPORATED,70826F,ETIOS FRON,447.10,605.00,1,447.10,,03625585,2026-02-13
FAI,PARTS INCORPORATED,BJ1050F,BALL JOINT,81.87,135.00,2,163.74,,NO HISTORY,
FAI,PARTS INCORPORATED,BJ1064F,BALL JOINT,102.22,170.00,2,204.44,,NO HISTORY,
FAI,PARTS INCORPORATED,D3304FAI,BRAKE PADS,124.74,195.00,1,124.74,,NO HISTORY,
FAI,PARTS INCORPORATED,D3946FAI,FAI BRAKE ,177.51,275.00,1,177.51,,03814565,2026-03-12
FAI,PARTS INCORPORATED,D4097FAI,BRAKE PAD,203.49,315.00,1,203.49,,03810151,2026-03-11
FAI,PARTS INCORPORATED,D4157FAI,FAI BRAKE ,176.75,275.00,1,176.75,,03815086,2026-03-12
FAI,PARTS INCORPORATED,SD4568FAI,BRAKE DRUM,618.49,900.00,2,1236.98,,03779204,2026-03-09
FAI,PARTS INCORPORATED,TR6014LF,LH STAB LI,61.49,105.00,2,122.98,,NO HISTORY,
FAI,PARTS INCORPORATED,TR6014RF,RH STAB LI,61.49,105.00,2,122.98,,NO HISTORY,
FSP,PARTS INCORPORATED,AE10,ELECTRONIC,316.40,520.00,1,316.40,,NO HISTORY,
FSP,PARTS INCORPORATED,BBC600SPM,BOOSTER CA,216.30,355.00,1,216.30,2022-09-24,NO HISTORY,
FSP,PARTS INCORPORATED,BCA20,TRICKLE CH,228.00,355.00,1,228.00,2023-07-22,3546245,2026-02-03
FSP,PARTS INCORPORATED,BCA24,BATTERY CH,244.00,465.00,1,244.00,2023-04-30,3820998,2026-03-13
FSP,PARTS INCORPORATED,CL203,WINDSCREEN,131.24,220.00,1,131.24,2022-08-02,NO HISTORY,
FSP,PARTS INCORPORATED,CP1013,3PIECE CHI,802.00,1155.00,2,1604.00,,03756473,2026-03-09
FSP,PARTS INCORPORATED,CS010,SEAT CUSIO,95.00,185.00,2,190.00,2023-10-06,NO HISTORY,
FSP,PARTS INCORPORATED,FM06,BLUETOOTH ,262.08,400.00,1,262.08,,ERQP2234,2023-11-29
FSP,PARTS INCORPORATED,FT01BK,2.5CM CURV,79.00,100.00,1,79.00,,EROB4864,2024-03-14
FSP,PARTS INCORPORATED,LA92,MAT FLOWER,140.00,215.00,1,140.00,2023-08-18,ERQQ3116,2023-12-10
FSP,PARTS INCORPORATED,MCH12A,12AMP BATT,640.00,985.00,1,640.00,,NO HISTORY,
FSP,PARTS INCORPORATED,MF34,UNO,71.60,120.00,1,71.60,2023-09-25,NO HISTORY,
FSP,PARTS INCORPORATED,MT10,MEASURE TA,159.90,265.00,1,159.90,2023-10-27,3596664,2026-02-11
FSP,PARTS INCORPORATED,NS001,noodle spo,62.80,105.00,1,62.80,2023-08-08,3290060,2025-12-23
FSP,PARTS INCORPORATED,OC500,OIL CAN,51.25,85.00,1,51.25,2023-02-28,NO HISTORY,
FSP,PARTS INCORPORATED,PU01B,HAND PUMP ,72.00,120.00,5,360.00,,NO HISTORY,
FSP,PARTS INCORPORATED,PU06,100PSI MIN,367.36,595.00,1,367.36,,ERMH5752,2025-04-02
FSP,PARTS INCORPORATED,PU08,12V AIR CO,345.00,570.00,1,345.00,,03795378,2026-03-10
FSP,PARTS INCORPORATED,T74615,STAINLESS ,304.85,500.00,2,609.70,,NO HISTORY,
FSP,PARTS INCORPORATED,TT8421BK,MICHELIN ,385.00,590.00,1,385.00,2022-10-31,NO HISTORY,
FSS,PARTS INCORPORATED,SH259,TYRE FIX B,106.79,175.00,3,320.37,,NO HISTORY,
G01,PARTS INCORPORATED,45008G,SHOCK PASS,1020.24,1350.00,2,2040.48,,NO HISTORY,
G01,PARTS INCORPORATED,45873F,ZOLA REAR,169.15,230.00,2,338.30,,NO HISTORY,
G01,PARTS INCORPORATED,70500,SHOCKS,634.06,865.00,1,634.06,2023-10-23,KJ1656947,2025-11-18
G01,PARTS INCORPORATED,SF7005T,SHOCKS,613.38,1010.00,2,1226.76,2022-11-23,NO HISTORY,
